epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.5762,2.96999,1.28292,0.70867,0.6316,0.52506,0.53355,0.16349,2.7922,1.15409,0.73453,0.000662698,0.000662698,0.000662698
2,188.153,3.06986,1.32024,0.71428,0.59288,0.54315,0.50843,0.14982,2.83708,1.23366,0.7387,0.00130304,0.00130304,0.00130304
3,281.728,3.116,1.37593,0.70645,0.62422,0.5537,0.55065,0.17748,2.72046,1.17788,0.72982,0.00191699,0.00191699,0.00191699
4,380.155,3.12784,1.35563,0.70891,0.62118,0.52163,0.52764,0.16024,2.82221,1.11706,0.73981,0.0018812,0.0018812,0.0018812
5,473.701,3.06499,1.31678,0.71374,0.57409,0.56345,0.50655,0.13453,2.90844,1.19204,0.73999,0.0018416,0.0018416,0.0018416
6,566.972,2.98627,1.29703,0.71026,0.67014,0.59052,0.59657,0.19456,2.65841,1.12999,0.7354,0.001802,0.001802,0.001802
7,662.357,3.01181,1.30531,0.71103,0.63203,0.55838,0.56048,0.16028,2.86213,1.13399,0.74287,0.0017624,0.0017624,0.0017624
8,755.524,3.01529,1.28327,0.70272,0.59624,0.56471,0.5177,0.14476,2.88048,1.21569,0.7421,0.0017228,0.0017228,0.0017228
9,849.13,2.97392,1.22514,0.6979,0.64737,0.57699,0.59694,0.18982,2.71832,1.11325,0.73276,0.0016832,0.0016832,0.0016832
10,942.52,2.94225,1.20039,0.70416,0.66776,0.62775,0.61686,0.21008,2.60099,1.01572,0.73153,0.0016436,0.0016436,0.0016436
11,1036.61,2.99507,1.20995,0.70212,0.64441,0.59391,0.58525,0.17202,2.73349,1.07091,0.73553,0.001604,0.001604,0.001604
12,1129.15,2.95034,1.19969,0.70355,0.63416,0.59222,0.57844,0.17848,2.72293,1.08831,0.73328,0.0015644,0.0015644,0.0015644
13,1222.24,2.94033,1.22322,0.70306,0.67595,0.60354,0.60152,0.20987,2.64521,1.04248,0.73033,0.0015248,0.0015248,0.0015248
14,1315.18,2.99339,1.21487,0.70156,0.63236,0.60406,0.58748,0.18533,2.69326,1.09261,0.73308,0.0014852,0.0014852,0.0014852
15,1407.73,2.95421,1.24095,0.7064,0.63447,0.63452,0.60286,0.19442,2.68776,1.06922,0.72851,0.0014456,0.0014456,0.0014456
16,1500.65,2.92128,1.19928,0.70423,0.70302,0.57679,0.6116,0.19325,2.71819,1.0598,0.73556,0.001406,0.001406,0.001406
17,1593.56,2.99942,1.21849,0.69628,0.68313,0.64933,0.64178,0.2081,2.64019,1.01861,0.72985,0.0013664,0.0013664,0.0013664
18,1687.01,2.90425,1.19021,0.70512,0.67651,0.59449,0.60001,0.19843,2.62716,1.03697,0.73269,0.0013268,0.0013268,0.0013268
19,1780.54,2.89045,1.15629,0.7026,0.69912,0.59762,0.62281,0.19738,2.6273,1.03852,0.72347,0.0012872,0.0012872,0.0012872
20,1873.29,2.90465,1.19179,0.71033,0.66573,0.60659,0.60647,0.20004,2.62966,1.02952,0.72764,0.0012476,0.0012476,0.0012476
21,1966.55,2.92266,1.18015,0.70208,0.6645,0.59729,0.61635,0.20718,2.65627,1.04152,0.73092,0.001208,0.001208,0.001208
22,2059.28,2.86451,1.18595,0.7019,0.69815,0.59729,0.6058,0.19376,2.60084,1.03695,0.72725,0.0011684,0.0011684,0.0011684
23,2152.46,2.86368,1.13687,0.69389,0.69959,0.65313,0.64514,0.22868,2.55065,0.99121,0.73147,0.0011288,0.0011288,0.0011288
24,2250.81,2.85836,1.15246,0.70298,0.68224,0.60306,0.6262,0.21606,2.62021,1.0376,0.73224,0.0010892,0.0010892,0.0010892
25,2343.8,2.87437,1.14478,0.69965,0.6958,0.5956,0.62824,0.2229,2.58688,1.00148,0.73421,0.0010496,0.0010496,0.0010496
26,2436.41,2.87499,1.15013,0.69783,0.73023,0.61374,0.63734,0.22242,2.59899,1.04165,0.72939,0.00101,0.00101,0.00101
27,2529.36,2.8505,1.15231,0.69825,0.66685,0.6379,0.61382,0.2078,2.59429,1.00642,0.73058,0.0009704,0.0009704,0.0009704
28,2621.97,2.85711,1.12569,0.69845,0.67079,0.62775,0.626,0.21297,2.61418,1.00332,0.72995,0.0009308,0.0009308,0.0009308
29,2715.49,2.85683,1.11115,0.69602,0.70676,0.61083,0.63265,0.2267,2.59331,1.01181,0.72737,0.0008912,0.0008912,0.0008912
30,2808.79,2.8189,1.10344,0.69159,0.65958,0.64914,0.63047,0.21079,2.61904,1.0015,0.72998,0.0008516,0.0008516,0.0008516
31,2902.07,2.80835,1.09496,0.70225,0.70907,0.64298,0.65214,0.22213,2.58226,1.00097,0.73156,0.000812,0.000812,0.000812
32,2994.97,2.79877,1.09111,0.69071,0.67955,0.62435,0.65009,0.23926,2.5014,1.00844,0.72835,0.0007724,0.0007724,0.0007724
33,3089.17,2.75369,1.06383,0.69648,0.68215,0.6176,0.61586,0.19259,2.66514,1.03054,0.72978,0.0007328,0.0007328,0.0007328
34,3182.33,2.7984,1.07488,0.69343,0.67081,0.64636,0.6464,0.23511,2.55629,0.97182,0.72748,0.0006932,0.0006932,0.0006932
